gene_id	SJINF053_211_withinKeepPairs
TSPAN6	2.0
TNMD	0.0
DPM1	300.0
SCYL3	804.19
C1orf112	513.81
FGR	751.0
CFH	9.0
FUCA2	223.0
GCLC	904.0
NFYA	3943.0
STPG1	341.0
NIPAL3	3334.0
LAS1L	1470.0
ENPP4	427.0
SEMA3F	40.0
CFTR	0.0
ANKIB1	2824.0
CYP51A1	1467.97
KRIT1	1590.19
RAD52	882.54
MYH16	0.0
BAD	196.88
LAP3	1488.0
CD99	2809.0
HS3ST1	56.0
AOC1	0.0
WNT16	47.0
HECW1	135.79
MAD1L1	905.0
LASP1	8139.0
SNX11	824.0
TMEM176A	18.0
M6PR	4017.05
KLHL13	669.0
CYP26B1	0.0
ICA1	7.0
DBNDD1	6.0
ALS2	763.0
CASP10	1439.0
CFLAR	6764.1
TFPI	167.0
NDUFAF7	712.73
RBM5	13787.92
MTMR7	103.82
SLC7A2	1.0
ARF5	1095.91
SARM1	181.27
POLDIP2	1513.0
PLXND1	5769.0
AK2	3880.89
CD38	13677.0
FKBP4	791.0
KDM1A	3875.0
RBM6	6460.57
CAMKK1	1210.0
RECQL	3112.29
CCDC132	1533.0
HSPB6	1.0
ARHGAP33	2665.0
NDUFAB1	182.0
PDK4	18.0
SLC22A16	541.0
ZMYND10	128.0
ABCB5	0.0
ARX	0.0
SLC25A13	483.0
ST7	31.91
CDC27	2313.0
SLC4A1	600.0
CALCR	0.0
HCCS	247.0
DVL2	1505.0
PRSS22	0.0
UPF1	4654.0
SKAP2	3421.0
SLC25A5	2835.21
CCDC109B	1125.0
HOXA11	1056.72
POLR2J	237.5
DHX33	1073.0
MEOX1	3.0
THSD7A	2709.39
LIG3	1459.58
RPAP3	1131.0
ACSM3	123.35
AC004381.6	318.0
CIAPIN1	910.0
SPPL2B	5684.0
FAM214B	628.0
COPZ2	7.0
PRKAR2B	306.0
MSL3	2278.0
CREBBP	12188.0
BZRAP1	4002.96
MPO	476.0
PON1	0.0
GCFC2	676.0
WDR54	193.0
CROT	285.0
ABCB4	420.0
KMT2E	16305.94
RHBDD2	1297.0
SOX8	19.0
IBTK	3597.0
ZNF195	1616.0
MYCBP2	22598.89
FBXL3	2732.46
ITGAL	17392.94
PDK2	819.62
ITGA3	14.0
ZFX	2185.0
LAMP2	4527.0
ITGA2B	64.0
ASB4	0.0
GDE1	1341.0
C19orf60	474.0
CRLF1	59.23
OSBPL7	2048.0
TMEM98	0.0
YBX2	1.0
KRT33A	0.0
MAP3K14	2224.46
ABCC8	0.0
CACNG3	0.0
TMEM132A	6.0
AP2B1	8452.0
TAC1	0.0
ZNF263	1723.24
CX3CL1	0.0
SPATA20	1192.0
CACNA1G	5.0
TNFRSF12A	4.0
DLX6	0.0
MAP3K9	163.0
RALA	1839.0
BAIAP2L1	100.71
KDM7A	1814.0
ETV1	0.0
AGK	1030.0
ALDH3B1	470.0
TTC22	27.0
PHTF2	1627.0
CCL26	0.0
FARP2	1036.98
USH1C	0.0
GGCT	215.78
DBF4	392.46
TBXA2R	38.0
IFRD1	1147.0
LGALS14	0.0
COX10	418.97
GTF2IRD1	167.0
PAF1	1499.0
VPS41	2291.0
ARHGAP44	690.0
ELAC2	4202.0
SCIN	3.0
ARSD	3070.08
PNPLA4	56.0
MYH13	0.0
ADIPOR2	4597.0
CDKL3	3.38
UPP2	0.0
PRSS21	1.0
MARK4	1440.0
PROM1	9759.0
CCDC124	417.0
CEACAM21	505.0
PAFAH1B1	6226.0
NOS2	0.0
DNAH9	1.0
KIAA0100	16963.58
SLC13A2	0.0
GAS7	20144.0
TRAPPC6A	126.0
MATK	204.0
CEACAM7	0.0
CD79B	1310.0
SCN4A	62.0
ST7L	299.44
TKTL1	94.0
PAX6	167.0
RPUSD1	856.0
RHBDF1	57.0
LUC7L	3409.0
CACNA2D2	113.0
BAIAP3	86.03
TSR3	439.97
PIGQ	1934.87
CRAMP1L	15311.69
TEAD3	4.0
SELE	0.0
DNAJC11	1518.22
FMO3	0.0
MYLIP	1463.0
NOX1	0.0
E2F2	1025.0
PSMB1	1235.0
SYN1	9.0
JARID2	9469.0
CDKL5	211.0
CAMK1G	0.0
CDK11A	2378.86
NADK	3163.0
TFAP2B	0.0
TFAP2D	0.0
DLEC1	56.07
CYTH3	2259.0
ADAM22	97.0
SYPL1	2833.0
CYB561	116.0
SPAG9	4521.0
CELSR3	68.0
AASS	696.0
PLEKHG6	21.0
SS18L2	83.0
MPND	364.2
MGST1	4.0
CRY1	1083.0
PGLYRP1	3.0
NFIX	414.0
ST3GAL1	9480.0
MMP25	85.4
IL32	230.0
PKD1	6981.13
MAPK8IP2	9.0
MED24	4075.0
RHOBTB2	824.69
HEATR5B	8130.0
SEC62	2716.0
RPS20	2486.0
CSDE1	14344.0
UBE3C	3214.0
REV3L	3332.58
TENM1	107.0
PAX7	0.0
MASP2	345.0
IYD	0.0
