gene_id/transcript_id	SJINF053_211_withinKeepPairs
TSPAN6-001	16.009
TSPAN6-002	0.0
TSPAN6-003	0.0
TSPAN6-201	0.0
TSPAN6-202	0.0
TNMD-001	0.0
TNMD-002	0.0
DPM1-005	345.5535
DPM1-003	219.4029
DPM1-001	1740.8949
DPM1-004	0.0
DPM1-002	95.4935
DPM1-006	0.0
SCYL3-003	2127.5915
SCYL3-001	2966.9415
SCYL3-201	479.3084
SCYL3-002	739.7743
SCYL3-004	123.4291
C1orf112-001	283.5188
C1orf112-002	1155.6872
C1orf112-201	699.1115
C1orf112-003	1516.2891
C1orf112-008	0.0
C1orf112-005	32.178
C1orf112-007	38.4215
C1orf112-006	277.2753
C1orf112-004	110.3018
FGR-002	2918.3543
FGR-004	266.2291
FGR-001	336.3484
FGR-201	1419.2748
FGR-007	591.051
FGR-006	0.0
FGR-005	480.1089
CFH-002	4.7226
CFH-001	21.7722
CFH-004	39.7022
CFH-005	1.5209
CFH-003	4.3224
CFH-006	0.0
FUCA2-001	1710.798
FUCA2-002	0.0
FUCA2-003	74.2816
GCLC-001	4534.8595
GCLC-012	461.6986
GCLC-008	0.0
GCLC-013	0.0
GCLC-007	113.6637
GCLC-005	882.174
GCLC-011	348.0349
GCLC-009	54.9908
GCLC-003	264.8683
GCLC-010	9.4453
GCLC-006	92.1316
GCLC-004	474.2656
GCLC-201	0.0
NFYA-001	25931.5617
NFYA-002	5630.1129
STPG1-001	0.0
STPG1-201	2213.7997
STPG1-002	0.0
STPG1-006	0.0
STPG1-007	19.2908
STPG1-004	404.3064
STPG1-008	0.0
STPG1-005	0.0
STPG1-009	35.8601
STPG1-010	0.0
STPG1-003	45.3054
STPG1-011	10.9661
NIPAL3-001	22229.3284
NIPAL3-005	345.2333
NIPAL3-002	118.6264
NIPAL3-007	2704.7947
NIPAL3-004	1081.0054
NIPAL3-003	85.1677
NIPAL3-006	122.7087
LAS1L-001	0.0
LAS1L-004	6893.4603
LAS1L-003	2264.5481
LAS1L-002	72.0403
LAS1L-005	2536.5405
ENPP4-001	3417.914
SEMA3F-001	0.0
SEMA3F-004	241.1751
SEMA3F-005	0.0
SEMA3F-010	0.0
SEMA3F-006	0.0
SEMA3F-002	0.0
SEMA3F-003	52.2693
SEMA3F-009	8.0045
SEMA3F-008	18.7305
CFTR-001	0.0
CFTR-005	0.0
CFTR-007	0.0
CFTR-004	0.0
CFTR-002	0.0
