gene_id/transcript_id	SJINF053_211
TSPAN6-001	16.0064
TSPAN6-002	0.0
TSPAN6-003	0.0
TSPAN6-201	0.0
TSPAN6-202	0.0
TNMD-001	0.0
TNMD-002	0.0
DPM1-005	345.4982
DPM1-003	219.3677
DPM1-001	1740.6162
DPM1-004	0.0
DPM1-002	95.4782
DPM1-006	0.0
SCYL3-003	2127.2509
SCYL3-001	2966.4666
SCYL3-201	479.2317
SCYL3-002	739.6559
SCYL3-004	123.4094
C1orf112-001	283.4734
C1orf112-002	1155.5022
C1orf112-201	698.9996
C1orf112-003	1516.0464
C1orf112-008	0.0
C1orf112-005	32.1729
C1orf112-007	38.4154
C1orf112-006	277.2309
C1orf112-004	110.2841
FGR-002	2930.9324
FGR-004	266.0264
FGR-001	336.2945
FGR-201	1420.6483
FGR-007	584.4738
FGR-006	0.0
FGR-005	480.032
CFH-002	4.7219
CFH-001	21.7687
CFH-004	39.6959
CFH-005	1.5206
CFH-003	4.3217
CFH-006	0.0
FUCA2-001	1710.5242
FUCA2-002	0.0
FUCA2-003	74.2697
GCLC-001	4534.1337
GCLC-012	461.6246
GCLC-008	0.0
GCLC-013	0.0
GCLC-007	113.6455
GCLC-005	882.0328
GCLC-011	347.9792
GCLC-009	54.982
GCLC-003	264.8259
GCLC-010	9.4438
GCLC-006	92.1168
GCLC-004	474.1897
GCLC-201	0.0
NFYA-001	25927.411
NFYA-002	5629.2117
STPG1-001	0.0
STPG1-201	2213.4454
STPG1-002	0.0
STPG1-006	0.0
STPG1-007	19.2877
STPG1-004	404.2417
STPG1-008	0.0
STPG1-005	0.0
STPG1-009	35.8543
STPG1-010	0.0
STPG1-003	45.2981
STPG1-011	10.9644
NIPAL3-001	22225.7703
NIPAL3-005	345.1781
NIPAL3-002	118.6074
NIPAL3-007	2704.3617
NIPAL3-004	1080.8323
NIPAL3-003	85.1541
NIPAL3-006	122.6891
LAS1L-001	0.0
LAS1L-004	6892.3569
LAS1L-003	2264.1857
LAS1L-002	72.0288
LAS1L-005	2536.1345
ENPP4-001	3417.3669
SEMA3F-001	0.0
SEMA3F-004	241.1365
SEMA3F-005	0.0
SEMA3F-010	0.0
SEMA3F-006	0.0
SEMA3F-002	0.0
SEMA3F-003	52.2609
SEMA3F-009	8.0032
SEMA3F-008	18.7275
CFTR-001	0.0
CFTR-005	0.0
CFTR-007	0.0
CFTR-004	0.0
CFTR-002	0.0
CFTR-006	0.0
CFTR-003	0.0
CFTR-008	0.0
CFTR-009	0.0
CFTR-010	0.0
CFTR-011	0.0
ANKIB1-001	19034.8139
ANKIB1-006	149.9
ANKIB1-002	2852.0208
ANKIB1-004	59.0636
ANKIB1-003	0.0
ANKIB1-007	505.3221
ANKIB1-005	0.0
CYP51A1-001	8609.0436
CYP51A1-006	0.0
CYP51A1-005	0.0
CYP51A1-002	3104.5218
CYP51A1-003	34.894
KRIT1-001	0.0
KRIT1-003	0.0
KRIT1-004	7464.986
KRIT1-201	547.8191
KRIT1-005	333.3333
KRIT1-017	69.8679
KRIT1-009	0.0
KRIT1-020	0.0
KRIT1-014	0.0
KRIT1-018	56.8227
KRIT1-011	108.0432
KRIT1-015	0.0
KRIT1-008	14.1657
KRIT1-022	0.0
KRIT1-012	227.3709
KRIT1-016	0.0
KRIT1-002	0.0
KRIT1-013	5.8423
KRIT1-010	0.0
KRIT1-021	248.3393
KRIT1-007	1654.1016
KRIT1-006	1867.6271
KRIT1-023	128.2913
KRIT1-019	0.0
KRIT1-202	0.0
RAD52-014	691.0764
RAD52-001	1673.6295
RAD52-007	0.0
RAD52-008	378.2313
RAD52-002	109.4838
RAD52-004	982.393
RAD52-003	165.8263
RAD52-005	725.01
RAD52-006	1318.4474
RAD52-016	333.0932
RAD52-017	304.0416
RAD52-201	0.0
RAD52-013	0.0
RAD52-015	266.7467
RAD52-010	0.0
RAD52-018	33.4534
RAD52-009	0.0
RAD52-012	0.0
RAD52-202	81.7127
RAD52-011	0.0
MYH16-003	0.0
MYH16-004	0.0
MYH16-006	0.0
MYH16-001	0.0
MYH16-005	0.0
MYH16-002	0.0
MYH16-007	0.0
BAD-001	1075.7103
BAD-003	15.046
BAD-002	284.2737
BAD-005	30.4922
BAD-004	17.1269
BAD-007	153.0212
BAD-008	0.0
LAP3-001	0.0
LAP3-003	124.6899
LAP3-008	0.0
LAP3-006	0.0
LAP3-007	17.607
LAP3-004	54.1817
LAP3-002	177.591
LAP3-005	137.0948
LAP3-009	235.2141
LAP3-010	10228.7315
LAP3-201	933.6535
CD99-008	227.9312
CD99-002	136.0544
CD99-004	0.0
CD99-003	1635.054
CD99-001	12365.2661
CD99-005	23.2093
CD99-006	241.0564
CD99-009	718.7675
CD99-007	292.0368
CD99-201	0.0
CD99-011	3297.7191
CD99-010	3543.8175
HS3ST1-001	448.1793
HS3ST1-002	0.0
HS3ST1-003	0.0
AOC1-001	0.0
AOC1-002	0.0
AOC1-012	0.0
AOC1-010	0.0
AOC1-008	0.0
AOC1-007	0.0
AOC1-009	0.0
AOC1-201	0.0
AOC1-202	0.0
WNT16-001	376.1505
WNT16-002	0.0
HECW1-001	432.1729
HECW1-007	0.0
HECW1-002	614.8059
HECW1-010	0.0
HECW1-006	0.0
HECW1-004	25.2101
HECW1-008	0.0
HECW1-011	0.0
HECW1-005	0.0
HECW1-003	14.6459
HECW1-009	0.0
MAD1L1-201	183.2733
MAD1L1-001	5081.8727
MAD1L1-002	42.1769
MAD1L1-003	423.3693
MAD1L1-014	20.8884
MAD1L1-006	681.0724
MAD1L1-004	218.0072
MAD1L1-018	351.9008
MAD1L1-016	0.0
MAD1L1-013	0.0
MAD1L1-007	112.525
MAD1L1-017	0.0
MAD1L1-005	91.5566
MAD1L1-012	8.0032
MAD1L1-010	0.0
MAD1L1-023	12.2449
MAD1L1-008	0.0
MAD1L1-022	0.0
MAD1L1-019	0.0
MAD1L1-015	0.0
MAD1L1-009	16.0064
MAD1L1-011	0.0
MAD1L1-020	0.0
LASP1-001	53763.9856
LASP1-002	87.0748
LASP1-201	0.0
LASP1-202	9715.1661
LASP1-005	0.0
LASP1-008	1121.4886
LASP1-009	30.6523
LASP1-004	419.6879
LASP1-003	0.0
SNX11-003	4051.9408
SNX11-001	808.2433
SNX11-002	310.8443
SNX11-012	16.9668
SNX11-008	0.0
SNX11-004	0.0
SNX11-009	100.8403
SNX11-014	0.0
SNX11-007	113.3253
SNX11-006	1192.557
SNX11-011	0.0
SNX11-013	0.0
SNX11-010	0.0
TMEM176A-001	0.0
TMEM176A-006	13.1253
TMEM176A-003	0.0
TMEM176A-007	0.0
TMEM176A-012	0.0
TMEM176A-009	0.0
TMEM176A-010	0.0
TMEM176A-005	25.6903
TMEM176A-008	0.0
TMEM176A-004	105.2421
TMEM176A-002	0.0
M6PR-001	27098.0392
M6PR-201	139.1757
M6PR-009	1427.6911
M6PR-010	100.2001
M6PR-006	278.5914
M6PR-002	0.0
M6PR-005	983.5134
M6PR-007	78.7515
M6PR-011	1424.7299
M6PR-008	346.7787
M6PR-004	0.0
M6PR-012	0.0
M6PR-003	273.0692
KLHL13-201	20.5682
KLHL13-002	237.3749
KLHL13-003	188.1553
KLHL13-001	1949.8199
KLHL13-005	20.5682
KLHL13-004	0.0
KLHL13-006	1781.9928
KLHL13-202	0.0
KLHL13-203	688.7555
KLHL13-204	0.0
KLHL13-205	466.9868
CYP26B1-001	0.0
CYP26B1-002	0.0
CYP26B1-004	0.0
CYP26B1-003	0.0
CYP26B1-201	0.0
ICA1-002	0.0
ICA1-008	40.016
ICA1-004	0.0
ICA1-007	0.0
ICA1-006	0.0
ICA1-001	0.0
ICA1-201	0.0
ICA1-003	0.0
ICA1-202	0.0
ICA1-009	0.0
ICA1-012	0.0
ICA1-011	0.0
ICA1-005	0.0
ICA1-014	0.0
ICA1-013	0.0
ICA1-015	0.0
ICA1-010	16.0064
ICA1-016	0.0
DBNDD1-001	8.4834
DBNDD1-002	0.0
DBNDD1-004	0.0
DBNDD1-006	6.2425
DBNDD1-007	6.2425
DBNDD1-003	0.0
DBNDD1-005	27.0508
ALS2-001	3843.7775
ALS2-009	0.0
ALS2-006	0.0
ALS2-005	750.7003
ALS2-008	9.5238
ALS2-002	650.8203
ALS2-003	232.493
ALS2-004	611.6046
ALS2-010	0.0
ALS2-012	15.5262
ALS2-011	0.0
ALS2-007	0.0
CASP10-002	131.4126
CASP10-001	4738.6955
CASP10-009	39.2957
CASP10-003	5355.9824
CASP10-201	0.0
CASP10-007	152.0608
CASP10-006	57.2229
CASP10-010	0.0
CASP10-005	288.1953
CASP10-012	26.7307
CASP10-011	11.2045
CASP10-013	25.2101
CASP10-004	690.5162
CFLAR-001	35631.6126
CFLAR-201	0.0
CFLAR-003	0.0
CFLAR-006	0.0
CFLAR-007	263.2253
CFLAR-005	9819.5278
CFLAR-018	80.5122
CFLAR-008	4604.882
CFLAR-017	43.1373
CFLAR-016	0.0
CFLAR-009	0.0
CFLAR-010	387.595
CFLAR-015	0.0
CFLAR-002	113.6455
CFLAR-011	1421.5286
CFLAR-024	368.3874
CFLAR-020	0.0
CFLAR-019	673.2293
CFLAR-023	100.12
CFLAR-022	52.1809
CFLAR-026	104.6819
CFLAR-014	304.6018
CFLAR-012	0.0
CFLAR-027	0.0
CFLAR-021	165.5862
TFPI-201	107.3229
TFPI-008	0.0
TFPI-001	647.0588
TFPI-009	0.0
TFPI-004	0.0
TFPI-003	9.0436
TFPI-012	0.0
TFPI-002	260.7443
TFPI-007	0.0
TFPI-006	13.8455
TFPI-005	12.8051
TFPI-010	285.7943
TFPI-011	0.0
NDUFAF7-001	334.5338
NDUFAF7-004	167.0268
NDUFAF7-007	0.0
NDUFAF7-014	0.0
NDUFAF7-006	0.0
NDUFAF7-013	0.0
NDUFAF7-010	654.8219
NDUFAF7-012	142.457
NDUFAF7-011	50.1
NDUFAF7-008	415.8463
NDUFAF7-002	2056.2625
NDUFAF7-003	1860.7443
NDUFAF7-009	22.409
RBM5-001	32542.9372
RBM5-014	5384.7939
RBM5-012	0.0
RBM5-009	155.4222
RBM5-013	34.0136
RBM5-008	27.611
RBM5-011	11.1244
RBM5-007	73.0692
RBM5-029	681.8727
RBM5-027	0.0
RBM5-015	804.962
RBM5-004	29036.5746
RBM5-025	314.2857
RBM5-003	15003.2013
RBM5-016	1716.4466
RBM5-020	26.6507
RBM5-018	1791.1965
RBM5-021	7354.5418
RBM5-026	4100.3601
RBM5-024	428.0912
RBM5-019	2646.0984
RBM5-023	107.403
RBM5-010	576.3105
RBM5-022	188.4754
RBM5-017	410.6443
RBM5-005	6947.3389
MTMR7-001	670.8283
MTMR7-006	0.0
MTMR7-005	0.0
MTMR7-008	0.0
MTMR7-003	0.0
MTMR7-009	0.0
MTMR7-007	0.0
MTMR7-002	160.064
MTMR7-004	0.0
SLC7A2-201	0.7203
SLC7A2-202	7.2829
SLC7A2-002	0.0
SLC7A2-001	0.0
SLC7A2-003	0.0
ARF5-001	3866.5866
ARF5-007	25.2901
ARF5-004	33.3733
ARF5-002	2544.2977
ARF5-006	84.914
ARF5-003	2216.1665
SARM1-002	76.5106
SARM1-008	22.0888
SARM1-007	0.0
SARM1-009	0.0
SARM1-006	12.8051
SARM1-005	0.0
SARM1-003	376.7107
SARM1-001	962.545
POLDIP2-001	12116.8467
POLDIP2-002	0.0
PLXND1-001	36163.2653
PLXND1-003	122.1289
PLXND1-013	711.7247
PLXND1-002	769.1877
PLXND1-018	9.7639
PLXND1-011	344.4578
PLXND1-015	537.575
PLXND1-006	55.2221
PLXND1-008	1271.1485
PLXND1-007	0.0
PLXND1-014	2131.8928
PLXND1-016	81.6327
PLXND1-010	1473.3894
PLXND1-005	286.3545
PLXND1-017	757.1829
PLXND1-012	1277.7911
PLXND1-009	185.7543
AK2-001	2856.7427
AK2-002	22385.2741
AK2-008	0.0
AK2-003	2273.3093
AK2-006	176.8707
AK2-009	0.0
AK2-004	435.4542
AK2-007	117.2469
AK2-005	144.8579
AK2-010	1232.8131
AK2-013	0.0
AK2-011	807.9232
AK2-012	71.2285
AK2-201	0.0
AK2-202	565.8263
CD38-001	102128.6114
CD38-002	3730.6122
CD38-004	63.7055
CD38-005	0.0
CD38-003	3544.8579
FKBP4-001	5452.3409
FKBP4-004	136.1345
FKBP4-006	0.0
FKBP4-003	72.0288
FKBP4-005	670.028
FKBP4-002	0.0
FKBP4-007	0.0
FKBP4-201	0.0
KDM1A-001	18708.5234
KDM1A-002	7646.0184
KDM1A-005	45.3782
KDM1A-003	0.0
KDM1A-004	76.8307
KDM1A-006	4535.6543
RBM6-001	21734.0536
RBM6-002	0.0
RBM6-019	66.5866
RBM6-007	2470.3481
RBM6-005	6319.1677
RBM6-010	58.6635
RBM6-008	315.006
RBM6-017	0.0
RBM6-004	388.3954
RBM6-006	5757.9832
RBM6-009	311.4046
RBM6-014	1653.5414
RBM6-003	8867.547
RBM6-023	0.0
RBM6-015	76.5906
RBM6-020	769.0276
RBM6-016	2838.7355
RBM6-021	18.5674
RBM6-011	0.0
RBM6-013	59.6238
CAMKK1-002	512.2049
CAMKK1-003	1203.9216
CAMKK1-001	5715.8864
CAMKK1-004	2251.9408
RECQL-005	206.4826
RECQL-007	353.2613
RECQL-002	10708.8435
RECQL-001	13335.1741
RECQL-006	64.1056
