gene_id	SJINF053_211
TSPAN6	2.5707
TNMD	0.0
DPM1	385.6041
SCYL3	1033.6632
C1orf112	660.4242
FGR	966.581
CFH	11.5681
FUCA2	286.6324
GCLC	1161.9537
NFYA	5068.1234
STPG1	438.3033
NIPAL3	4285.347
LAS1L	1889.4602
ENPP4	548.8432
SEMA3F	51.4139
CFTR	0.0
ANKIB1	3629.8201
CYP51A1	1886.8509
KRIT1	2043.946
RAD52	1134.3702
MYH16	0.0
BAD	253.0591
LAP3	1912.5964
CD99	3610.5398
HS3ST1	71.9794
AOC1	0.0
WNT16	60.4113
HECW1	174.5373
MAD1L1	1163.2391
LASP1	10461.4396
SNX11	1059.126
TMEM176A	23.1362
M6PR	5163.4961
KLHL13	859.8972
CYP26B1	0.0
ICA1	8.9974
DBNDD1	7.7121
ALS2	982.0051
CASP10	1849.6144
CFLAR	8694.2159
TFPI	214.653
NDUFAF7	916.1054
RBM5	17724.8458
MTMR7	133.4447
SLC7A2	1.2853
ARF5	1408.6247
SARM1	232.982
POLDIP2	1946.0154
PLXND1	7416.4524
AK2	4989.5758
CD38	17580.9769
FKBP4	1016.7095
KDM1A	4980.7198
RBM6	8304.0746
CAMKK1	1555.2699
RECQL	4000.3728
CCDC132	1970.437
HSPB6	1.2853
ARHGAP33	3425.4499
NDUFAB1	233.9332
PDK4	23.1362
SLC22A16	695.3728
ZMYND10	164.5244
ABCB5	0.0
ARX	0.0
SLC25A13	620.8226
ST7	41.0154
CDC27	2973.0077
SLC4A1	771.2082
CALCR	0.0
HCCS	317.4807
DVL2	1934.4473
PRSS22	0.0
UPF1	5982.0051
SKAP2	4397.1722
SLC25A5	3644.2288
CCDC109B	1446.0154
HOXA11	1358.2519
POLR2J	305.2699
DHX33	1379.1774
MEOX1	3.856
THSD7A	3482.5064
LIG3	1876.0668
RPAP3	1453.7275
ACSM3	158.5476
AC004381.6	408.7404
CIAPIN1	1169.6658
SPPL2B	7305.9126
FAM214B	807.1979
COPZ2	8.9974
PRKAR2B	393.3162
MSL3	2928.0206
